Country	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
Austria	5	1	7	10	11	3	7	4	8	6	7	9
Belgium	6	14	8	4	12	4	11	6	9	5	2	5
Bulgaria	0	0	0	0	0	0	0	0	0	1	0	1
Croatia	0	0	0	0	0	0	0	1	0	0	0	0
Cyprus	0	0	0	0	0	0	0	2	1	0	0	1
Czech Republic	0	0	1	0	1	1	1	1	0	1	0	2
Denmark	2	6	5	5	3	6	4	10	10	4	3	4
Estonia	1	1	0	0	0	0	0	1	0	1	0	0
Finland	3	2	5	7	7	2	5	2	3	3	1	8
France	21	30	34	23	28	23	37	40	34	32	33	35
Germany	35	33	45	44	47	31	43	45	53	47	31	29
Greece	0	1	0	1	1	0	1	3	4	2	0	4
Hungary	1	1	2	3	0	0	1	2	3	4	1	4
Iceland	0	0	0	0	0	0	0	0	0	0	0	1
Ireland	4	2	3	1	1	2	0	3	2	3	0	0
Israel	6	10	13	10	9	4	18	17	11	13	11	15
Italy	11	15	9	12	19	11	22	13	24	21	14	17
Latvia	0	0	0	0	0	0	0	1	0	0	0	0
Lithuania	0	0	0	1	0	0	0	0	0	0	0	0
Luxembourg	0	0	1	1	1	0	0	0	0	0	0	0
Netherlands	14	23	15	19	20	17	27	31	21	18	18	20
Norway	0	1	3	2	1	3	3	4	3	7	3	4
Poland	1	0	0	0	1	0	0	0	1	0	1	1
Portugal	1	2	1	0	2	2	0	2	2	2	1	1
Slovenia	3	1	1	1	1	0	0	1	0	0	0	0
Spain	14	11	19	10	12	12	13	15	13	12	12	14
Sweden	7	6	10	11	9	3	8	6	9	11	12	18
Switzerland	16	18	25	25	20	22	24	25	20	21	31	30
Turkey	0	0	1	0	0	0	1	0	0	0	0	0
United Kingdom	34	43	60	41	71	46	65	84	70	57	64	59
