Country	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2007
Austria	9	14	16	10	14	13	9	16	15	7	5
Belgium	16	12	21	11	12	16	24	20	14	14	10
Bulgaria	0	0	0	0	0	0	0	0	0	0	1
Croatia	0	0	0	0	0	1	0	0	0	0	0
Cyprus	0	1	0	0	0	1	0	0	1	0	2
Czech Republic	5	2	2	3	1	1	0	1	1	0	1
Denmark	15	7	4	8	13	2	13	10	6	7	3
Estonia	1	1	0	0	0	0	0	1	0	1	0
Finland	10	7	7	5	9	3	8	9	4	6	7
France	37	52	52	37	49	30	84	57	73	33	41
Germany	72	67	65	44	69	42	77	65	78	29	32
Greece	0	0	3	0	0	2	4	4	3	3	4
Hungary	0	1	4	3	2	1	2	3	5	1	6
Iceland	0	0	1	0	0	0	0	0	0	0	0
Ireland	7	3	3	6	10	3	5	6	5	3	3
Israel	23	29	14	32	26	32	26	23	26	12	22
Italy	16	20	15	23	19	7	29	27	21	17	24
Luxembourg	1	1	1	0	0	0	0	1	0	0	0
Malta	0	0	0	1	0	0	0	0	0	0	0
Netherlands	45	37	38	38	38	29	43	50	25	17	27
Norway	11	7	3	1	6	4	4	5	2	1	1
Poland	4	2	3	2	0	1	2	2	3	2	1
Portugal	5	5	5	4	6	5	7	0	5	2	2
Romania	1	1	1	1	1	0	0	0	0	0	0
Serbia	0	0	0	0	1	0	0	0	0	0	0
Slovakia	0	0	0	0	0	0	1	0	0	0	0
Slovenia	1	0	0	0	0	0	0	1	0	0	0
Spain	19	22	24	14	22	12	25	27	25	19	22
Sweden	17	15	16	12	9	6	21	15	21	6	11
Switzerland	22	24	26	29	2	23	37	23	28	22	17
Turkey	0	2	1	2	1	1	2	0	0	0	0
United Kingdom	66	75	66	63	65	65	143	120	75	43	57
